denominazione_provincia,data,denominazione_regione,totale_casi
Sondrio,2020-03-14,Lombardia,45
Ragusa,2020-03-14,Sicilia,2
Rovigo,2020-03-14,Veneto,27
Piacenza,2020-03-15,Emilia-Romagna,1012
Ravenna,2020-03-15,Emilia-Romagna,100
Gorizia,2020-03-15,Friuli Venezia Giulia,31
Trieste,2020-03-15,Friuli Venezia Giulia,140
Pordenone,2020-03-15,Friuli Venezia Giulia,42
Sondrio,2020-03-15,Lombardia,45
Ragusa,2020-03-15,Sicilia,4
Rovigo,2020-03-15,Veneto,27
Piacenza,2020-03-16,Emilia-Romagna,1073
Ravenna,2020-03-16,Emilia-Romagna,114
Gorizia,2020-03-16,Friuli Venezia Giulia,16
Trieste,2020-03-16,Friuli Venezia Giulia,164
Pordenone,2020-03-16,Friuli Venezia Giulia,54
Sondrio,2020-03-16,Lombardia,46
Ragusa,2020-03-16,Sicilia,4
Rovigo,2020-03-16,Veneto,27
Piacenza,2020-03-17,Emilia-Romagna,1204
Ravenna,2020-03-17,Emilia-Romagna,124
Gorizia,2020-03-17,Friuli Venezia Giulia,18
Trieste,2020-03-17,Friuli Venezia Giulia,177
Pordenone,2020-03-17,Friuli Venezia Giulia,54
Sondrio,2020-03-17,Lombardia,74
Ragusa,2020-03-17,Sicilia,4
Rovigo,2020-03-17,Veneto,28
Piacenza,2020-03-18,Emilia-Romagna,1340
Ravenna,2020-03-18,Emilia-Romagna,153
Gorizia,2020-03-18,Friuli Venezia Giulia,25
Trieste,2020-03-18,Friuli Venezia Giulia,180
Pordenone,2020-03-18,Friuli Venezia Giulia,76
Sondrio,2020-03-18,Lombardia,75
Ragusa,2020-03-18,Sicilia,6
Rovigo,2020-03-18,Veneto,33
Piacenza,2020-03-19,Emilia-Romagna,1428
Ravenna,2020-03-19,Emilia-Romagna,185
Gorizia,2020-03-19,Friuli Venezia Giulia,28
Trieste,2020-03-19,Friuli Venezia Giulia,208
Pordenone,2020-03-19,Friuli Venezia Giulia,97
Sondrio,2020-03-19,Lombardia,155
Ragusa,2020-03-19,Sicilia,7
Rovigo,2020-03-19,Veneto,52
Piacenza,2020-03-20,Emilia-Romagna,1575
Ravenna,2020-03-20,Emilia-Romagna,213
Gorizia,2020-03-20,Friuli Venezia Giulia,30
Trieste,2020-03-20,Friuli Venezia Giulia,216
Pordenone,2020-03-20,Friuli Venezia Giulia,114
Sondrio,2020-03-20,Lombardia,163
Ragusa,2020-03-20,Sicilia,7
Rovigo,2020-03-20,Veneto,67
Piacenza,2020-03-21,Emilia-Romagna,1693
Ravenna,2020-03-21,Emilia-Romagna,287
Gorizia,2020-03-21,Friuli Venezia Giulia,38
Trieste,2020-03-21,Friuli Venezia Giulia,270
Pordenone,2020-03-21,Friuli Venezia Giulia,144
Sondrio,2020-03-21,Lombardia,179
Ragusa,2020-03-21,Sicilia,8
Rovigo,2020-03-21,Veneto,68
Piacenza,2020-03-22,Emilia-Romagna,1765
Ravenna,2020-03-22,Emilia-Romagna,309
Gorizia,2020-03-22,Friuli Venezia Giulia,44
Trieste,2020-03-22,Friuli Venezia Giulia,297
Pordenone,2020-03-22,Friuli Venezia Giulia,165
Sondrio,2020-03-22,Lombardia,205
Ragusa,2020-03-22,Sicilia,9
Rovigo,2020-03-22,Veneto,76
Piacenza,2020-03-23,Emilia-Romagna,1885
Ravenna,2020-03-23,Emilia-Romagna,342
Gorizia,2020-03-23,Friuli Venezia Giulia,55
Trieste,2020-03-23,Friuli Venezia Giulia,320
Pordenone,2020-03-23,Friuli Venezia Giulia,170
Sondrio,2020-03-23,Lombardia,208
Ragusa,2020-03-23,Sicilia,9
Rovigo,2020-03-23,Veneto,80
Piacenza,2020-03-24,Emilia-Romagna,1981
