"TIME","GEO","SEX","UNIT","Value"
"2010W08","Liechtenstein","Total","Number","4"
"2010W08","Norway","Total","Number","915"
"2010W08","Switzerland","Total","Number","1,323"
"2010W08","Montenegro","Total","Number","108"
"2010W08","Albania","Total","Number",":"
"2010W08","Serbia","Total","Number","2,058"
"2010W08","Andorra","Total","Number","5"
"2010W08","Armenia","Total","Number",":"
"2010W08","Georgia","Total","Number",":"
"2010W09","Belgium","Total","Number","2,116"
"2010W09","Bulgaria","Total","Number","2,089"
"2010W09","Czechia","Total","Number","2,136"
"2010W09","Denmark","Total","Number","1,182"
"2010W09","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W09","Estonia","Total","Number","285"
"2010W09","Greece","Total","Number",":"
"2010W09","Spain","Total","Number","7,471"
"2010W09","France","Total","Number",":"
"2010W09","Croatia","Total","Number","993"
"2010W09","Italy","Total","Number",":"
"2010W09","Cyprus","Total","Number",":"
"2010W09","Latvia","Total","Number","518"
"2010W09","Lithuania","Total","Number","789"
"2010W09","Luxembourg","Total","Number","93"
"2010W09","Hungary","Total","Number","2,464"
"2010W09","Malta","Total","Number",":"
"2010W09","Netherlands","Total","Number","2,756"
"2010W09","Austria","Total","Number","1,554"
"2010W09","Poland","Total","Number","7,023"
"2010W09","Portugal","Total","Number","2,275"
"2010W09","Romania","Total","Number",":"
"2010W09","Slovenia","Total","Number","370"
"2010W09","Slovakia","Total","Number","1,006"
"2010W09","Finland","Total","Number","1,028"
"2010W09","Sweden","Total","Number","1,874"
"2010W09","United Kingdom","Total","Number",":"
"2010W09","Iceland","Total","Number","36"
"2010W09","Liechtenstein","Total","Number","10"
"2010W09","Norway","Total","Number","841"
"2010W09","Switzerland","Total","Number","1,306"
"2010W09","Montenegro","Total","Number","101"
"2010W09","Albania","Total","Number",":"
"2010W09","Serbia","Total","Number","1,936"
"2010W09","Andorra","Total","Number","7"
"2010W09","Armenia","Total","Number",":"
"2010W09","Georgia","Total","Number",":"
"2010W10","Belgium","Total","Number","2,144"
"2010W10","Bulgaria","Total","Number","2,246"
"2010W10","Czechia","Total","Number","2,190"
"2010W10","Denmark","Total","Number","1,128"
"2010W10","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W10","Estonia","Total","Number","335"
"2010W10","Greece","Total","Number",":"
"2010W10","Spain","Total","Number","7,498"
"2010W10","France","Total","Number",":"
"2010W10","Croatia","Total","Number","1,019"
"2010W10","Italy","Total","Number",":"
"2010W10","Cyprus","Total","Number",":"
"2010W10","Latvia","Total","Number","607"
"2010W10","Lithuania","Total","Number","877"
"2010W10","Luxembourg","Total","Number","74"
"2010W10","Hungary","Total","Number","2,620"
"2010W10","Malta","Total","Number",":"
"2010W10","Netherlands","Total","Number","2,760"
"2010W10","Austria","Total","Number","1,554"
"2010W10","Poland","Total","Number","7,345"
"2010W10","Portugal","Total","Number","2,202"
"2010W10","Romania","Total","Number",":"
"2010W10","Slovenia","Total","Number","373"
"2010W10","Slovakia","Total","Number","1,035"
"2010W10","Finland","Total","Number","1,060"
"2010W10","Sweden","Total","Number","1,844"
"2010W10","United Kingdom","Total","Number",":"
"2010W10","Iceland","Total","Number","39"
"2010W10","Liechtenstein","Total","Number","3"
"2010W10","Norway","Total","Number","831"
"2010W10","Switzerland","Total","Number","1,366"
"2010W10","Montenegro","Total","Number","114"
"2010W10","Albania","Total","Number",":"
"2010W10","Serbia","Total","Number","2,070"
"2010W10","Andorra","Total","Number","2"
"2010W10","Armenia","Total","Number",":"
"2010W10","Georgia","Total","Number",":"
"2010W11","Belgium","Total","Number","2,092"
"2010W11","Bulgaria","Total","Number","2,180"
"2010W11","Czechia","Total","Number","2,141"
"2010W11","Denmark","Total","Number","1,067"
"2010W11","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W11","Estonia","Total","Number","305"
"2010W11","Greece","Total","Number",":"
"2010W11","Spain","Total","Number","7,778"
"2010W11","France","Total","Number",":"
"2010W11","Croatia","Total","Number","1,109"
"2010W11","Italy","Total","Number",":"
"2010W11","Cyprus","Total","Number",":"
"2010W11","Latvia","Total","Number","605"
"2010W11","Lithuania","Total","Number","755"
"2010W11","Luxembourg","Total","Number","71"
"2010W11","Hungary","Total","Number","2,655"
"2010W11","Malta","Total","Number",":"
"2010W11","Netherlands","Total","Number","2,686"
"2010W11","Austria","Total","Number","1,560"
"2010W11","Poland","Total","Number","7,398"
"2010W11","Portugal","Total","Number","2,285"
"2010W11","Romania","Total","Number",":"
"2010W11","Slovenia","Total","Number","357"
"2010W11","Slovakia","Total","Number","1,029"
"2010W11","Finland","Total","Number","1,002"
"2010W11","Sweden","Total","Number","1,741"
"2010W11","United Kingdom","Total","Number",":"
"2010W11","Iceland","Total","Number","31"
"2010W11","Liechtenstein","Total","Number","5"
"2010W11","Norway","Total","Number","787"
"2010W11","Switzerland","Total","Number","1,322"
"2010W11","Montenegro","Total","Number","95"
"2010W11","Albania","Total","Number",":"
"2010W11","Serbia","Total","Number","2,062"
"2010W11","Andorra","Total","Number","6"
"2010W11","Armenia","Total","Number",":"
"2010W11","Georgia","Total","Number",":"
"2010W12","Belgium","Total","Number","2,036"
"2010W12","Bulgaria","Total","Number","2,190"
"2010W12","Czechia","Total","Number","2,101"
"2010W12","Denmark","Total","Number","1,095"
"2010W12","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W12","Estonia","Total","Number","287"
"2010W12","Greece","Total","Number",":"
"2010W12","Spain","Total","Number","7,568"
"2010W12","France","Total","Number",":"
"2010W12","Croatia","Total","Number","1,016"
"2010W12","Italy","Total","Number",":"
"2010W12","Cyprus","Total","Number",":"
"2010W12","Latvia","Total","Number","599"
"2010W12","Lithuania","Total","Number","789"
"2010W12","Luxembourg","Total","Number","62"
"2010W12","Hungary","Total","Number","2,603"
"2010W12","Malta","Total","Number",":"
"2010W12","Netherlands","Total","Number","2,687"
"2010W12","Austria","Total","Number","1,578"
"2010W12","Poland","Total","Number","7,417"
"2010W12","Portugal","Total","Number","2,061"
"2010W12","Romania","Total","Number",":"
"2010W12","Slovenia","Total","Number","358"
"2010W12","Slovakia","Total","Number","1,004"
"2010W12","Finland","Total","Number","992"
"2010W12","Sweden","Total","Number","1,814"
"2010W12","United Kingdom","Total","Number",":"
"2010W12","Iceland","Total","Number","30"
"2010W12","Liechtenstein","Total","Number","5"
"2010W12","Norway","Total","Number","839"
"2010W12","Switzerland","Total","Number","1,250"
"2010W12","Montenegro","Total","Number","85"
"2010W12","Albania","Total","Number",":"
"2010W12","Serbia","Total","Number","2,057"
"2010W12","Andorra","Total","Number","2"
"2010W12","Armenia","Total","Number",":"
"2010W12","Georgia","Total","Number",":"
"2010W13","Belgium","Total","Number","2,024"
"2010W13","Bulgaria","Total","Number","2,090"
"2010W13","Czechia","Total","Number","2,040"
"2010W13","Denmark","Total","Number","1,056"
"2010W13","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W13","Estonia","Total","Number","273"
"2010W13","Greece","Total","Number",":"
"2010W13","Spain","Total","Number","7,237"
"2010W13","France","Total","Number",":"
"2010W13","Croatia","Total","Number","960"
"2010W13","Italy","Total","Number",":"
"2010W13","Cyprus","Total","Number",":"
"2010W13","Latvia","Total","Number","566"
"2010W13","Lithuania","Total","Number","757"
"2010W13","Luxembourg","Total","Number","86"
"2010W13","Hungary","Total","Number","2,455"
"2010W13","Malta","Total","Number",":"
"2010W13","Netherlands","Total","Number","2,590"
"2010W13","Austria","Total","Number","1,509"
"2010W13","Poland","Total","Number","7,196"
"2010W13","Portugal","Total","Number","2,033"
"2010W13","Romania","Total","Number",":"
"2010W13","Slovenia","Total","Number","349"
"2010W13","Slovakia","Total","Number","975"
"2010W13","Finland","Total","Number","978"
"2010W13","Sweden","Total","Number","1,754"
"2010W13","United Kingdom","Total","Number",":"
"2010W13","Iceland","Total","Number","50"
"2010W13","Liechtenstein","Total","Number","4"
"2010W13","Norway","Total","Number","813"
"2010W13","Switzerland","Total","Number","1,220"
"2010W13","Montenegro","Total","Number","105"
"2010W13","Albania","Total","Number",":"
"2010W13","Serbia","Total","Number","1,977"
"2010W13","Andorra","Total","Number","2"
"2010W13","Armenia","Total","Number",":"
"2010W13","Georgia","Total","Number",":"
"2010W14","Belgium","Total","Number","1,918"
"2010W14","Bulgaria","Total","Number","2,065"
"2010W14","Czechia","Total","Number","2,022"
"2010W14","Denmark","Total","Number","1,090"
"2010W14","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W14","Estonia","Total","Number","296"
"2010W14","Greece","Total","Number",":"
"2010W14","Spain","Total","Number","7,299"
"2010W14","France","Total","Number",":"
"2010W14","Croatia","Total","Number","969"
"2010W14","Italy","Total","Number",":"
"2010W14","Cyprus","Total","Number",":"
"2010W14","Latvia","Total","Number","560"
"2010W14","Lithuania","Total","Number","791"
"2010W14","Luxembourg","Total","Number","68"
"2010W14","Hungary","Total","Number","2,512"
"2010W14","Malta","Total","Number",":"
"2010W14","Netherlands","Total","Number","2,473"
"2010W14","Austria","Total","Number","1,352"
"2010W14","Poland","Total","Number","7,205"
"2010W14","Portugal","Total","Number","2,135"
"2010W14","Romania","Total","Number",":"
"2010W14","Slovenia","Total","Number","354"
"2010W14","Slovakia","Total","Number","1,025"
"2010W14","Finland","Total","Number","963"
"2010W14","Sweden","Total","Number","1,731"
"2010W14","United Kingdom","Total","Number",":"
"2010W14","Iceland","Total","Number","55"
"2010W14","Liechtenstein","Total","Number","4"
"2010W14","Norway","Total","Number","792"
"2010W14","Switzerland","Total","Number","1,153"
"2010W14","Montenegro","Total","Number","114"
"2010W14","Albania","Total","Number",":"
"2010W14","Serbia","Total","Number","1,942"
"2010W14","Andorra","Total","Number","5"
"2010W14","Armenia","Total","Number",":"
"2010W14","Georgia","Total","Number",":"
"2010W15","Belgium","Total","Number","1,948"
"2010W15","Bulgaria","Total","Number","2,139"
"2010W15","Czechia","Total","Number","1,948"
"2010W15","Denmark","Total","Number","1,091"
"2010W15","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W15","Estonia","Total","Number","277"
"2010W15","Greece","Total","Number",":"
"2010W15","Spain","Total","Number","7,476"
"2010W15","France","Total","Number",":"
"2010W15","Croatia","Total","Number","1,053"
"2010W15","Italy","Total","Number",":"
"2010W15","Cyprus","Total","Number",":"
"2010W15","Latvia","Total","Number","561"
"2010W15","Lithuania","Total","Number","797"
"2010W15","Luxembourg","Total","Number","66"
"2010W15","Hungary","Total","Number","2,536"
"2010W15","Malta","Total","Number",":"
"2010W15","Netherlands","Total","Number","2,587"
"2010W15","Austria","Total","Number","1,486"
"2010W15","Poland","Total","Number","7,149"
"2010W15","Portugal","Total","Number","2,029"
"2010W15","Romania","Total","Number",":"
